"Title:","'ge-22/0/4-Alamosa Zayo Fiber(1Gb) ETYX/123244//ZYO'"
"Vertical Label:","'bits per second'"
"Start Date:","2018-02-26 12:01:00"
"End Date:","2018-02-27 12:00:00"
"Step:","60"
"Total Rows:","1440"
"Graph ID:","2160"
"Host ID:","26"
""
"Date","In","Out"
"2018-02-27 10:12:00","4.8621994660e+07","3.0069938162e+08"
"2018-02-27 10:13:00","4.4931633959e+07","3.1820556422e+08"
"2018-02-27 10:14:00","4.4527883886e+07","2.8764930258e+08"
"2018-02-27 10:15:00","4.3936094216e+07","2.8640451892e+08"
"2018-02-27 10:16:00","4.3969632164e+07","2.9422497612e+08"
"2018-02-27 10:17:00","4.4418465764e+07","3.2811986896e+08"
"2018-02-27 10:18:00","4.2020800407e+07","3.3165583419e+08"
"2018-02-27 10:19:00","3.9606395024e+07","3.1897713304e+08"
"2018-02-27 10:20:00","4.0335412029e+07","3.1500229413e+08"
"2018-02-27 10:21:00","4.2680135773e+07","3.1029758991e+08"
"2018-02-27 10:22:00","4.6074900187e+07","2.9171435309e+08"
"2018-02-27 10:23:00","4.6205720575e+07","3.1809416218e+08"
"2018-02-27 10:24:00","4.2981418952e+07","3.1410748510e+08"
"2018-02-27 10:25:00","4.2782388720e+07","3.2035983034e+08"
"2018-02-27 10:26:00","4.3404287731e+07","3.3528807682e+08"
"2018-02-27 10:27:00","4.2290227862e+07","3.2092210693e+08"
"2018-02-27 10:28:00","4.2845634010e+07","3.2526927739e+08"
"2018-02-27 10:29:00","4.4683017299e+07","3.3678411385e+08"
"2018-02-27 10:30:00","4.5216679453e+07","3.4434790663e+08"
"2018-02-27 10:31:00","4.5857694411e+07","3.6412403387e+08"
"2018-02-27 10:32:00","4.4990203724e+07","3.6651919143e+08"
"2018-02-27 10:33:00","4.3764334302e+07","3.3409630743e+08"
"2018-02-27 10:34:00","4.0543927833e+07","3.2173135270e+08"
"2018-02-27 10:35:00","3.9824469427e+07","3.2855296514e+08"
"2018-02-27 10:36:00","4.2834266720e+07","3.3836641854e+08"
"2018-02-27 10:37:00","3.8544798658e+07","3.0928354247e+08"
"2018-02-27 10:38:00","4.8897626310e+07","3.6240490777e+08"
"2018-02-27 10:39:00","4.4537248848e+07","3.3120282476e+08"
"2018-02-27 10:40:00","4.5390527321e+07","3.1898417873e+08"
"2018-02-27 10:41:00","4.8269577820e+07","3.6094325739e+08"
"2018-02-27 10:42:00","4.5739837055e+07","3.6822950005e+08"
"2018-02-27 10:43:00","4.3972203467e+07","3.3765005142e+08"
"2018-02-27 10:44:00","4.6683735425e+07","3.4741398828e+08"
"2018-02-27 10:45:00","4.5074725984e+07","3.4157304497e+08"
"2018-02-27 10:46:00","4.4036439683e+07","3.2813026133e+08"
"2018-02-27 10:47:00","4.6266473090e+07","3.1046192927e+08"
"2018-02-27 10:48:00","4.4511702753e+07","3.2132870745e+08"
"2018-02-27 10:49:00","4.2341953147e+07","3.4008220874e+08"
"2018-02-27 10:50:00","4.1242094910e+07","3.4109590959e+08"
"2018-02-27 10:51:00","4.1363856488e+07","3.1442279787e+08"
"2018-02-27 10:52:00","4.4635896542e+07","3.0766299459e+08"
"2018-02-27 10:53:00","4.5107297033e+07","3.2519134719e+08"
"2018-02-27 10:54:00","4.4456321212e+07","3.3908466162e+08"
"2018-02-27 10:55:00","4.4115466086e+07","3.3839705485e+08"
"2018-02-27 10:56:00","4.7809231080e+07","3.5790674574e+08"
"2018-02-27 10:57:00","4.5024843809e+07","3.3148676704e+08"
"2018-02-27 10:58:00","4.7321767654e+07","3.4031760298e+08"
"2018-02-27 10:59:00","4.6849106070e+07","3.5349481242e+08"
"2018-02-27 11:00:00","4.8063995441e+07","3.7931709581e+08"
"2018-02-27 11:01:00","4.8873327784e+07","3.4969700899e+08"
"2018-02-27 11:02:00","4.8399888362e+07","3.5154910237e+08"
